lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio	lower_odds	upper_odds	z_value	p_value
cov	706	930	141685	185461	0.016010688617825508	0.9936889837026783	0.900853792206464	1.0960910692439627	-0.12651535263828798	0.44966199852255995
pcr	156	165	141685	185461	3.625418672338128	1.237568870766457	0.9941775443923058	1.5405464733427918	1.9077352742824913	0.0282127200752221
residue	157	220	141685	185461	0.426479390822351	0.9341265034150661	0.7610701045562087	1.1465334391123916	-0.6518787026353973	0.25723971246847777
suggest	218	336	141685	185461	3.560634075663984	0.849270304515214	0.7160721832384619	1.007244893761185	-1.8770627948413647	0.030254743937894277
model	215	287	141685	185461	0.04721969924867153	0.9805850909148589	0.821579128952177	1.1703645901409852	-0.21720110576483304	0.4140258114893662
number	213	280	141685	185461	0.0021915771067142487	0.9957499533673794	0.833105924189581	1.1901463437505326	-0.04680979901580817	0.48133240955544904
sequence	450	551	141685	185461	1.0976463686674833	1.069029371473887	0.9436729135979909	1.2110380414719653	1.0489501998188033	0.14710051970137877
increase	204	386	141685	185461	18.694144719280303	0.6917857079513575	0.5837528750420977	0.8198117494346365	-4.25338804232774	1.0528011731351362e-05
set	162	194	141685	185461	0.6960570691153407	1.0930549800286609	0.8871491786616725	1.3467511644071521	0.8355456973516858	0.20170526435949815
fviii	1	256	141685	185461	279.01968530751765	0.005113152636129442	0.0007174726842865275	0.03643947770130933	-5.2656319828260605	6.985395295837128e-08
et	834	1163	141685	185461	1.939962682314217	0.938674583339794	0.8585676500530908	1.0262557334342275	-1.3905456193512615	0.08218162826507414
line	272	229	141685	185461	24.286773582920432	1.5547556522225559	1.3039538588992985	1.8537965293944234	4.916992071097428	4.394205485613152e-07
find	264	341	141685	185461	0.026277190074324608	1.013393864399332	0.8628442044305981	1.1902115342826236	0.16214856986013598	0.4355944295111196
table	211	255	141685	185461	0.7327842731028795	1.0831060893849722	0.9023944562129735	1.3000066576051088	0.8572124387056991	0.1956637446762688
mutant	131	241	141685	185461	10.112042329274118	0.7115132232582447	0.5750890340486114	0.8803003307285183	-3.1338883969001974	0.0008625322631803112
compare	193	339	141685	185461	10.87231881171465	0.7452231429082108	0.6244111451501898	0.8894100258130582	-3.258693574406488	0.0005596324460009078
base	245	370	141685	185461	3.0356581835076213	0.8667484684811855	0.7374227128922504	1.0187547718295613	-1.7346181519352448	0.041404231083656685
level	230	296	141685	185461	0.03713482525199652	1.017102794646289	0.856019373712699	1.2084984600179083	0.19277323212609318	0.42356828396491086
receptor	257	289	141685	185461	3.1207117633894086	1.164029544069994	0.9838282998030097	1.3772370440442712	1.7700046664873106	0.038363181677880664
infection	233	286	141685	185461	0.5285178851336241	1.0663962532861853	0.8968861026888775	1.267943572337077	0.727846753018855	0.23335370057795124
cell	1410	2043	141685	185461	8.57007147371769	0.9033987153878039	0.843831657118578	0.9671706815920621	-2.919161841165923	0.0017548697792064596
spike	207	185	141685	185461	14.223949356935918	1.4646280242906562	1.2010285345354783	1.7860818355720622	3.7694145907551926	8.181544493151466e-05
