lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
higher	146	175	138320	182375	0.7200647173449397	1.100006196810708
membrane	204	246	138320	182375	0.8849876411259174	1.0933907235255118
type	137	130	138320	182375	7.199785907752812	1.3894967633580995
s.	145	25	138320	182375	130.04810343310237	7.647303354540196
pcr	155	165	138320	182375	3.6405207021161914	1.2385914524072419
changes	140	152	138320	182375	2.7359700640663505	1.214408427445131
domain	161	189	138320	182375	1.1673883851617575	1.12316715935137
host	154	269	138320	182375	7.9134785840287805	0.7548293273934049
sequences	202	241	138320	182375	1.0929869720712304	1.1051332648570036
rbd	293	312	138320	182375	6.856698245741427	1.238207273917041
binding	368	578	138320	182375	6.946694735437632	0.8394605758473906
cells	751	1168	138320	182375	12.528967013582587	0.8477687794136289
compared	149	261	138320	182375	7.8214176604524255	0.7527072267317276
site	135	258	138320	182375	12.614007127471268	0.689913093332616
4	267	424	138320	182375	5.7277683056890965	0.8302822038314218
based	213	295	138320	182375	0.29955616127699614	0.9520021125172775
analysis	381	476	138320	182375	0.6113293217495084	1.0553544545348503
rdna	229	219	138320	182375	11.507156298495829	1.3787060842305976
genes	197	334	138320	182375	7.9731525937095284	0.7776784848463859
viral	181	263	138320	182375	1.0164360720664263	0.9074091432881707
observed	227	340	138320	182375	2.2262988686561584	0.8802930332051849
fig	607	719	138320	182375	3.7509897155687213	1.1131152309735504
cov-2	770	599	138320	182375	94.36992282886058	1.69490057653444
ace2	338	262	138320	182375	42.01768692024052	1.7009663949951215
2019-ncov	222	424	138320	182375	20.65069310925901	0.6903470009384856
mutations	221	205	138320	182375	13.12345312628895	1.4214079405831652
sars	1448	1351	138320	182375	82.77792052458972	1.4131671631963814
2020	153	117	138320	182375	19.895178043283522	1.7241930640209993
collagen	2	271	138320	182375	285.46150856278837	0.009730631574678962
expression	435	481	138320	182375	7.023508859798312	1.1924069679636482
±	395	100	138320	182375	278.6359417773783	5.208077284557548
gene	271	337	138320	182375	0.5124638918787241	1.060277913169136
study	250	257	138320	182375	7.808003660291433	1.2825881112538904
tfs	168	193	138320	182375	1.6960971867665648	1.1477103480103208
c	398	727	138320	182375	28.004839452914894	0.721820124058957
mers	154	320	138320	182375	22.48589096777141	0.634528403340081
reported	168	178	138320	182375	4.11156443040818	1.2444275121684938
values	155	168	138320	182375	3.0795377753674984	1.2164737478999696
al	817	1161	138320	182375	2.685043081641197	0.9278337403337403
figure	405	823	138320	182375	52.790749261155725	0.6488368581281224
time	144	242	138320	182375	5.4063202533870935	0.7845623276245286
cases	141	169	138320	182375	0.6960069434717298	1.100050778402538
previously	112	194	138320	182375	5.396887841634452	0.761196210192412
fusion	126	209	138320	182375	4.208832426927984	0.794885516145904
increased	102	182	138320	182375	6.128889272920787	0.7389398845804283
buffer	94	188	138320	182375	11.313390128314495	0.6592502891844997
10	209	369	138320	182375	11.6265066890046	0.7467930105125227
°	329	456	138320	182375	0.47670900635421276	0.9512866014986859
performed	209	251	138320	182375	0.9897444816306233	1.0978749835821549
number	179	234	138320	182375	0.007418671622872353	1.0085965962737218
found	206	281	138320	182375	0.13729544635862112	0.9665876126121491
3	283	403	138320	182375	0.9876647498458624	0.9258949470928706
t	208	200	138320	182375	10.128956693224609	1.3712406015037595
region	153	198	138320	182375	0.030014188960194588	1.0188413560124085
5	209	304	138320	182375	1.1991849206387997	0.9064691476286871
data	520	513	138320	182375	21.59319150261581	1.3364918143311495
“	143	199	138320	182375	0.24274750798940659	0.9474652397324971
protein	714	828	138320	182375	6.262899277731776	1.1369678900428328
h	127	190	138320	182375	1.2232859125360847	0.8813135444887522
model	147	187	138320	182375	0.10532858595252037	1.036468369092208
37	129	182	138320	182375	0.34692689776420593	0.934541618734071
et	834	1163	138320	182375	1.519831821322441	0.9455111628200735
2	441	520	138320	182375	2.9583879485726357	1.1181899135783244
human	398	397	138320	182375	15.385443615727127	1.3218217385160247
stage	88	312	138320	182375	78.5864686621353	0.37188477851433316
coronavirus	359	335	138320	182375	20.642822448164225	1.4129603212969277
positive	149	184	138320	182375	0.35204125568270683	1.0676988379183745
tert	147	71	138320	182375	52.191326610744	2.7298533101442666
table	204	252	138320	182375	0.4771864600479603	1.0673576110606187
treatment	94	237	138320	182375	30.598138724453747	0.5229495964839069
min	145	111	138320	182375	18.791904323734343	1.7223656203919362
fviii	1	256	138320	182375	277.42015992384404	0.005150392884253904
infection	182	231	138320	182375	0.14722518157213926	1.038818637502848
surface	86	252	138320	182375	45.66439136862755	0.44996448309418235
species	140	487	138320	182375	119.07453073561192	0.37903507386377805
identified	130	203	138320	182375	2.2914598053321242	0.8443599762954184
dna	133	656	138320	182375	247.87266684602946	0.26731795262664165
different	214	245	138320	182375	2.265451828017831	1.1516698929427178
p	229	298	138320	182375	0.022252933122217655	1.0132101759949694
samples	209	233	138320	182375	3.08455070015043	1.182689359996227
specific	199	227	138320	182375	2.2129578767344356	1.1558661457948498
lines	211	154	138320	182375	31.615606187842786	1.806517026206876
proteins	318	464	138320	182375	1.9444332150742412	0.9036275515546159
treated	30	203	138320	182375	100.59841265436262	0.19485230222201963
n	413	310	138320	182375	56.84729766007513	1.7565830286012798
cov	657	870	138320	182375	0.006934827193617821	0.9956952643545203
1	521	667	138320	182375	0.2525356253609061	1.0298932553676892
similar	183	232	138320	182375	0.15709984861314297	1.0400241631100298
s	443	541	138320	182375	1.4224497117102146	1.0796594384796059
”	146	216	138320	182375	1.162348536774516	0.8912087242679348
non	158	222	138320	182375	0.3740530591458082	0.9383923035238825
studies	180	215	138320	182375	0.9522978952154517	1.1038609493321856
 	976	1	138320	182375	1622.9408586826175	1286.8565644881435
b	285	375	138320	182375	0.0006845798343420029	1.0020604395604396
shown	184	346	138320	182375	15.598382205702364	0.7011679376297569
 	1507	1	138320	182375	2509.747803375125	1986.9803716020822
mm	148	253	138320	182375	6.416768515482545	0.7712967810221815
genome	134	202	138320	182375	1.4556481996551156	0.8746488985220096
target	111	202	138320	182375	7.637636248022318	0.7245225950443511
invasion	48	251	138320	182375	100.53414754383266	0.2521435368992509
e	90	178	138320	182375	10.20454612467438	0.6666575958045503
virus	283	397	138320	182375	0.6357570663094521	0.9398883216081281
ntd	139	112	138320	182375	15.145382939837873	1.636353396368669
information	151	103	138320	182375	27.21475274581462	1.9329474498419312
spike	184	167	138320	182375	12.197788225486875	1.4527192001191371
structure	194	250	138320	182375	0.05711010657250881	1.0231564488143436
receptor	198	229	138320	182375	1.8139165099710226	1.1400136005111872
high	217	324	138320	182375	2.0215035611763597	0.8830698318088669
"				"	280	1	138320	182375	458.4510036939755	369.18016194331983
activity	118	242	138320	182375	16.154111622832716	0.642905240692322
–	175	151	138320	182375	14.600227444432676	1.5280635842024828
results	236	298	138320	182375	0.2453261809423566	1.0441816660908854
actin	154	156	138320	182375	5.360747769474983	1.301596724800166
sequence	219	270	138320	182375	0.542960618622601	1.0694504691215219
cell	660	879	138320	182375	0.0379091864451766	0.9900004342702384
rna	178	215	138320	182375	0.7447538683190942	1.091595827672939
levels	148	203	138320	182375	0.1336618158966303	0.9612713576286301
supplementary	172	161	138320	182375	9.738909872248769	1.4085844688165707
methylation	137	67	138320	182375	47.72539185732603	2.696038496067954
modules	163	170	138320	182375	4.551182429306209	1.264209378083217
mutant	108	178	138320	182375	3.3993250066414475	0.7999891149654603
control	85	202	138320	182375	22.213382912799716	0.5548145998087374
respectively	107	177	138320	182375	3.485614251345396	0.7970596716693952
