
bioRxiv Tokens	PMCOA Tokens	NYTAC Tokens
'et'	'\\\\u2009'	'said'
'al'	'\\xa0'	'mr.'
'cell'	'\\t\\t\\t\\t'	''
'cells'	'et'	'--'
'1'	'1'	'new'
'different'	'cells'	'new'
'2'	'al'	'like'
'high'	'cell'	'year'
'genes'	'patients'	'years'
'gene'	'study'	'united'
'3'	'2'	'ms.'
'specific'	'different'	'today'
'figure'	'high'	'york'
'single'	'3'	'old'
'non'	'\\\\u2013'	'american'
'5'	'significant'	'yesterday'
'\\\\u201d'	'10'	'time'
'\\\\u201c'	'5'	'lead'
'data'	'significantly'	'people'
'10'	'group'	'dr.'
'4'	'4'	'years'
'significant'	'non'	'york'
'\\\\u2019'	'compared'	'week'
'found'	'\\\\u201c'	'officials'
'protein'	'\\\\u201d'	'ago'
'model'	'found'	'including'
'performed'	'performed'	'10'
'figure'	'specific'	'people'
'analysis'	'respectively'	'high'
'study'	'\\\\u200a'	'john'
'genetic'	'showed'	'public'
'significantly'	'analysis'	'good'
'species'	'including'	'political'
'low'	'low'	'1'
'human'	'higher'	'said'
'time'	'clinical'	'president'
'including'	'results'	'year'
'respectively'	'groups'	'national'
'time'	'shown'	'second'
'compared'	'time'	'million'
'previously'	'\\xb0'	'university'
'results'	'total'	'recent'
'shown'	'treatment'	'small'
'fig'	'protein'	'percent'
'multiple'	'additional'	'2'
'large'	'studies'	'long'
'similar'	'genes'	'far'
'\\\\u2013'	'positive'	'big'
'higher'	'figure'	'major'
'expression'	'cells'	'later'
'expression'	'gene'	'west'
'samples'	'data'	'great'
'i.e.'	'anti'	'30'
'fig'	'previous'	'little'
'individual'	'data'	'million'
'\\xb0'	'addition'	'3'
'dna'	'human'	'mrs.'
'average'	'health'	'states'
'supplementary'	'observed'	'says'
'previous'	'according'	'according'
'total'	'single'	'late'
'showed'	'reported'	'young'
'data'	'previously'	'away'
'observed'	'mice'	'life'
'functional'	'20'	'american'
'number'	'\\\\u2003'	'month'
'based'	'6'	'large'
'\\\\u2018'	'c'	'company'
'small'	'study'	'way'
'cells'	'control'	'black'
'positive'	'similar'	'early'
'conditions'	'studies'	'east'
'20'	'expression'	'real'
'data'	'data'	'3'
'regions'	'time'	'11'
'data'	'30'	'state'
'proteins'	'fig'	'20'
'new'	'95'	'world'
'mice'	'\\\\u2019'	'net'
'relative'	'model'	'j.'
'addition'	'levels'	'street'
'6'	'primary'	'end'
'neurons'	'samples'	'think'
'studies'	'large'	'day'
'c'	'small'	'long'
'cells'	'lower'	'state'
'100'	''	'david'
'function'	'increased'	'best'
'activity'	'100'	'robert'
'highly'	'patients'	'local'
'experimental'	'based'	'city'
'standard'	'figure'	'million'
'30'	'blood'	'5'
'levels'	'50'	'earns'
'brain'	'effect'	'st.'
'rna'	'normal'	'president'
'models'	'standard'	'world'
'identified'	'conditions'	'nearly'
'binding'	'level'	'4'
