Title [citation]	PC1	License	Figure Thumbnail
Conditional Robust Calibration (CRC): a new computational Bayesian methodology for model parameters estimation and identifiability analysis [@doi:10.1101/197400]	4.522818390064091	None	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/197400_thumbnail.png
FPtool a software tool to obtain in silico genotype-phenotype signatures and finger prints based on massive model simulations [@doi:10.1101/266775]	4.348956760251298	CC-BY	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/266775_thumbnail.png
GpABC: a Julia package for approximate Bayesian computation with Gaussian process emulation [@doi:10.1101/769299]	4.259104249060651	CC-BY-NC-ND	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/769299_thumbnail.png
Notions of similarity for computational biology models [@doi:10.1101/044818]	4.079855550647664	CC-BY-NC-ND	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/044818_thumbnail.png
SBpipe: a collection of pipelines for automating repetitive simulation and analysis tasks [@doi:10.1101/107250]	4.022240241143516	CC-BY-NC-ND	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/107250_thumbnail.png

Bromodomain inhibition reveals FGF15/19 as a target of epigenetic regulation and metabolic control [@doi:10.1101/2019.12.11.872887]	-3.4783803547922414	None	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/2019.12.11.872887_thumbnail.png
Inhibition of Bruton’s tyrosine kinase reduces NF-kB and NLRP3 inflammasome activity preventing insulin resistance and microvascular disease[@doi:10.1101/745943]	-3.6926161167521476	None	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/745943_thumbnail.png
Spatiotemporal proteomics uncovers cathepsin-dependent host cell death during bacterial infection [@doi:10.1101/455048]	-3.728443135960558	CC-BY-ND	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/455048_thumbnail.png
NADPH consumption by L-cystine reduction creates a metabolic vulnerability upon glucose deprivation [@doi:10.1101/733162]	-3.7363965062637288	None	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/733162_thumbnail.png
AKT but not MYC promotes reactive oxygen species-mediated cell death in oxidative culture [@doi:10.1101/754572]	-3.8769231933681176	None	https://raw.githubusercontent.com/greenelab/annorxiver_manuscript/88659570d1a5740c28bc40c58e36d203ab02008f/content//paper-thumbnails/pc1/754572_thumbnail.png
