preprint_doi,document,category,version_count,published_doi,pmcid,pmcoa,journal,preprint_date,published_date,time_to_published,doc_distances
10.1101/000026,000026_v1.xml,genetics,1,10.1371/journal.pgen.1004412,PMC4125079,TRUE,PLoS_Genet,11/7/13,8/7/14,273 days,1.640911032
10.1101/000067,000067_v1.xml,genomics,1,10.1038/nature12904,PMC4285441,TRUE,Nature,11/7/13,2/27/14,112 days,1.683716545
10.1101/000109,000109_v1.xml,evolutionary biology,1,10.1371/journal.pgen.1004410,PMC4072524,TRUE,PLoS_Genet,11/7/13,6/26/14,231 days,1.244657553
10.1101/000141,000141_v1.xml,cancer biology,1,10.1371/journal.pcbi.1003433,PMC3894166,TRUE,PLoS_Comput_Biol,11/7/13,1/16/14,70 days,0.972640781
10.1101/000158,000158_v1.xml,bioinformatics,1,10.1186/1471-2164-15-398,PMC4041996,TRUE,BMC_Genomics,11/11/13,5/24/14,194 days,1.077588777
10.1101/000265,000265_v1.xml,genomics,1,10.1093/nar/gkw1148,PMC5224485,TRUE,Nucleic_Acids_Res,11/12/13,11/28/16,1112 days,0.829129591
10.1101/000307,000307_v1.xml,developmental biology,1,10.1371/journal.pgen.1004293,PMC3998915,TRUE,PLoS_Genet,11/12/13,4/24/14,163 days,1.068483497
10.1101/000315,000315_v1.xml,none,1,10.1371/journal.pone.0087782,PMC3906208,TRUE,PLoS_One,11/13/13,1/29/14,77 days,0.827356639
10.1101/000380,000380_v1.xml,systems biology,1,10.1016/j.biochi.2012.05.024,PMC3585962,TRUE,Biochimie,11/14/13,3/1/14,107 days,1.392411278
10.1101/000422,000422_v2.xml,bioinformatics,3,10.3389/fgene.2014.00013,PMC3908319,TRUE,Front_Genet,11/14/13,1/31/14,78 days,1.062851727
10.1101/000448,000448_v2.xml,synthetic biology,2,10.1021/sb500024b,PMC4384833,TRUE,ACS_Synth_Biol,11/15/13,5/15/14,181 days,1.26506049
10.1101/000455,000455_v1.xml,neuroscience,3,10.1186/2047-217x-3-3,PMC4076503,TRUE,Gigascience,11/15/13,3/26/14,131 days,1.136075929
10.1101/000497,000497_v1.xml,bioinformatics,1,10.1186/s13062-016-0155-0,PMC5480421,TRUE,Biol_Direct,11/15/13,10/13/16,1063 days,1.097185336
10.1101/000653,000653_v3.xml,developmental biology,4,10.1242/bio.20148409,PMC4154298,TRUE,Biol_Open,11/18/13,6/20/14,214 days,2.277344218
10.1101/000760,000760_v1.xml,ecology,2,10.1111/cobi.12308,PMC4253318,TRUE,Conserv_Biol,11/21/13,5/12/14,172 days,0.90794319
