document	preprint_doi	pmcid	distance	journal	label
000026_v1.xml	10.1101/000026	PMC4125079	1.3603765843978706	PLoS_Genet	pre_vs_published
000026_v1.xml	10.1101/000026	PMC4473527	5.3968742370360605	PLoS_Genet	pre_vs_random
000067_v1.xml	10.1101/000067	PMC4285441	0.4709046539972382	Nature	pre_vs_published
000067_v1.xml	10.1101/000067	PMC6175059	6.073076414661818	Nature	pre_vs_random
000109_v1.xml	10.1101/000109	PMC4072524	0.5337020557353159	PLoS_Genet	pre_vs_published
000109_v1.xml	10.1101/000109	PMC4473527	4.502641915377894	PLoS_Genet	pre_vs_random
000141_v1.xml	10.1101/000141	PMC3894166	0.6460767231211911	PLoS_Comput_Biol	pre_vs_published
000141_v1.xml	10.1101/000141	PMC4102394	5.778242127553177	PLoS_Comput_Biol	pre_vs_random
000158_v1.xml	10.1101/000158	PMC4041996	0.9597151861037363	BMC_Genomics	pre_vs_published
000158_v1.xml	10.1101/000158	PMC3306746	5.513476555385365	BMC_Genomics	pre_vs_random
000265_v1.xml	10.1101/000265	PMC5224485	0.6024678047514332	Nucleic_Acids_Res	pre_vs_published
000265_v1.xml	10.1101/000265	PMC1807958	2.9165587928114536	Nucleic_Acids_Res	pre_vs_random
000307_v1.xml	10.1101/000307	PMC3998915	0.6857822425311441	PLoS_Genet	pre_vs_published
000307_v1.xml	10.1101/000307	PMC4473527	3.747646472568146	PLoS_Genet	pre_vs_random
000315_v1.xml	10.1101/000315	PMC3906208	0.5632274293279618	PLoS_One	pre_vs_published
000315_v1.xml	10.1101/000315	PMC4167549	6.811306608973309	PLoS_One	pre_vs_random
000380_v1.xml	10.1101/000380	PMC3585962	0.7992524131036204	Biochimie	pre_vs_published
000380_v1.xml	10.1101/000380	PMC6171785	5.778105521495325	Biochimie	pre_vs_random
000422_v1.xml	10.1101/000422	PMC3908319	0.8785182078233432	Front_Genet	pre_vs_published
000422_v1.xml	10.1101/000422	PMC6883806	5.315581939387673	Front_Genet	pre_vs_random
000448_v1.xml	10.1101/000448	PMC4384833	0.740626664546919	ACS_Synth_Biol	pre_vs_published
000448_v1.xml	10.1101/000448	PMC4161666	3.153043671315136	ACS_Synth_Biol	pre_vs_random
000455_v3.xml	10.1101/000455	PMC4076503	0.573116408447787	Gigascience	pre_vs_published
000455_v3.xml	10.1101/000455	PMC5967554	4.354270301191328	Gigascience	pre_vs_random
000497_v1.xml	10.1101/000497	PMC5480421	1.0922458417806482	Biol_Direct	pre_vs_published
000497_v1.xml	10.1101/000497	PMC3583402	4.568706727935054	Biol_Direct	pre_vs_random
000653_v4.xml	10.1101/000653	PMC4154298	1.4701222137194538	Biol_Open	pre_vs_published
000653_v4.xml	10.1101/000653	PMC6310875	4.081052440688064	Biol_Open	pre_vs_random
