lemma	preprint_count	published_count	preprint_total	published_total	log_p	log_likelihood	odds_ratio
difference	92909	105212	65471550	74812843	-3.093586376474591	4.006355285644531	1.009059072146667
type	122955	136339	65471550	74812843	-31.40882052836847	58.23505115509033	1.0305046883439113
estimate	85647	97781	65471550	74812843	-0.16096930273649737	0.035247802734375	1.0008796183241015
state	76302	81275	65471550	74812843	-46.051701859880914	193.73989295959473	1.0727606311600604
signal	83008	90709	65471550	74812843	-45.12787790756251	86.26181507110596	1.0456673563292733
use	583640	674681	65471550	74812843	-22.91442646538541	41.61276340484619	0.9884852758630013
–	52382	109366	65471550	74812843	-46.051701859880914	13615.990572929382	0.5473027156832287
increase	142494	150118	65471550	74812843	-46.051701859880914	481.15094089508057	1.0846446995641448
observe	104413	115187	65471550	74812843	-36.171812942169495	67.60415267944336	1.0357979117829939
response	102144	108483	65471550	74812843	-46.051701859880914	280.93000984191895	1.0759075573748966
figure	246034	246296	65471550	74812843	-46.051701859880914	2145.5011281967163	1.1414616000382476
2	167174	195250	65471550	74812843	-23.61522885871221	42.99265003204346	0.9783665600933397
°	71831	93395	65471550	74812843	-46.051701859880914	679.7515983581543	0.8788468843363686
read	87522	100456	65471550	74812843	-1.0919855702113392	0.9268512725830078	0.9955556154166295
cluster	79017	87766	65471550	74812843	-18.714217467509627	33.39550971984863	1.0287700555606516
""""	172945	180195	65471550	74812843	-46.051701859880914	749.3146533966064	1.0967026956347683
genome	134896	139140	65471550	74812843	-46.051701859880914	716.0740852355957	1.1078238392663242
associate	87221	91379	65471550	74812843	-46.051701859880914	335.4953842163086	1.090682694700675
al	386267	379852	65471550	74812843	-46.051701859880914	4290.353058815002	1.1619747894322268
protein	210517	227768	65471550	74812843	-46.051701859880914	325.0104341506958	1.056131888337707
4	103868	116448	65471550	74812843	-11.712221496038609	19.8865385055542	1.0192335771587044
strain	75640	85591	65471550	74812843	-2.992179431867434	3.835939407348633	1.0098284979675392
sample	180653	207222	65471550	74812843	-1.4537923465071347	1.4179115295410156	0.9961693164437738
control	125065	139058	65471550	74812843	-26.713244397769447	49.01846885681152	1.027693698022594
group	104319	113314	65471550	74812843	-46.051701859877	139.09968280792236	1.0519708618649775
region	131309	143619	65471550	74812843	-46.05170185964973	131.02468395233154	1.0447356493084536
site	106197	116738	65471550	74812843	-43.97708213311747	83.26313495635986	1.039498589696342
mean	88389	106474	65471550	74812843	-46.051701859835845	134.54633808135986	0.9485910451252096
high	192589	206181	65471550	74812843	-46.051701859880914	421.43597412109375	1.0673491792994751
large	94198	99702	65471550	74812843	-46.051701859880914	283.4448709487915	1.0795968323768454
data	40873	88444	65471550	74812843	-46.051701859880914	12136.172468185425	0.5280771667791843
expression	187574	203425	65471550	74812843	-46.051701859880914	265.47018814086914	1.053639469285457
single	96702	105791	65471550	74812843	-46.03816962748808	95.58261585235596	1.0445053171529395
d	75221	88379	65471550	74812843	-17.698452376217038	31.454394340515137	0.9725555451518999
gene	400044	430794	65471550	74812843	-46.051701859880914	724.9276371002197	1.0611132267357177
file	32899	108465	65471550	74812843	-46.051701859880914	33096.1352853775	0.3465978055828778
human	88889	91578	65471550	74812843	-46.051701859880914	482.78125953674316	1.1091251279742915
rna	87347	96309	65471550	74812843	-31.43007535860036	58.27096939086914	1.0363468171544026
find	126276	135200	65471550	74812843	-46.051701859880914	275.85401916503906	1.0672542359736783
specific	101157	105889	65471550	74812843	-46.051701859880914	396.5373249053955	1.091613307459134
c	171082	202697	65471550	74812843	-46.05170182598546	121.33590316772461	0.9644526904519181
function	102866	107604	65471550	74812843	-46.051701859880914	409.4339475631714	1.092363443540652
measure	81340	91635	65471550	74812843	-5.737241045775454	8.675487518310547	1.014301152817871
population	133970	139530	65471550	74812843	-46.051701859880914	585.7371702194214	1.0971439880519833
t	73208	88228	65471550	74812843	-46.05170003181975	113.46722507476807	0.9481491348380895
indicate	116938	135070	65471550	74812843	-4.9570139293718025	7.264571189880371	0.9892835687674316
datum	245169	286438	65471550	74812843	-34.75906556754622	64.89441871643066	0.9780447215186554
target	90935	98766	65471550	74812843	-46.051701835277385	121.75506973266602	1.0520769842452047
5	115990	126549	65471550	74812843	-46.05170185928146	129.12928199768066	1.0473351481442053
base	146333	159210	65471550	74812843	-46.051701859880914	182.79756832122803	1.0502573010428364
b	125341	147354	65471550	74812843	-29.556342905306934	54.657522201538086	0.971975412040528
et	389408	388022	65471550	74812843	-46.051701859880914	3622.0042877197266	1.146758719343569
value	152334	183688	65471550	74812843	-46.051701859880914	240.7264060974121	0.9476327957257784
n	65277	117848	65471550	74812843	-46.051701859880914	9096.741680145264	0.6329428140993275
different	150805	165811	65471550	74812843	-46.05170155657909	116.80300903320312	1.039264753348049
perform	100182	119801	65471550	74812843	-46.051699275109186	112.7578992843628	0.9555501821755761
additional	41916	105486	65471550	74812843	-46.051701859880914	20491.41665649414	0.4540616119757053
identify	122690	129004	65471550	74812843	-46.051701859880914	434.0064754486084	1.0867501241760542
experiment	85077	102036	65471550	74812843	-46.05168134633408	108.65477848052979	0.952759144965152
mouse	88628	99536	65471550	74812843	-8.616034404758192	14.01383113861084	1.0174541262425134
sequence	178452	195812	65471550	74812843	-46.05170185988091	152.92248725891113	1.0413719308629859
interaction	80418	84280	65471550	74812843	-46.051701859880914	307.0191535949707	1.0903163479985343
set	119864	140423	65471550	74812843	-22.150315241082627	40.12986183166504	0.9753816598278351
present	80600	87545	65471550	74812843	-46.051672813265874	107.74204635620117	1.0520288689756587
3	135022	144367	65471550	74812843	-46.051701859880914	307.2091636657715	1.0687111696341882
method	124857	139306	65471550	74812843	-20.785913156605893	37.43107986450195	1.0241580186944137
model	266728	292296	65471550	74812843	-46.051701859880914	242.96213722229004	1.04272410676452
table	106141	130461	65471550	74812843	-46.051701859880914	311.4763832092285	0.929665618672683
p	113094	165249	65471550	74812843	-46.051701859880914	4103.299725532532	0.7820337066800246
time	179219	202795	65471550	74812843	-5.962652421907179	9.087209701538086	1.0098354763252826
fig	261836	378927	65471550	74812843	-46.051701859880914	8708.580639839172	0.7895831179392667
analysis	221415	235747	65471550	74812843	-46.051701859880914	567.5829963684082	1.0732095264377288
result	215987	237789	65471550	74812843	-46.051701859880914	156.09301853179932	1.037909701738713
network	85323	89233	65471550	74812843	-46.051701859880914	341.3822250366211	1.0926080131879583
contain	83596	97001	65471550	74812843	-6.76777185679582	10.570128440856934	0.984767118668979
bind	86229	92972	65471550	74812843	-46.0517018598809	150.60314559936523	1.0598028344647006
rate	116926	131452	65471550	74812843	-9.856544290479555	16.355449676513672	1.0164074520279076
provide	82605	87329	65471550	74812843	-46.051701859880914	256.14002227783203	1.080865533140929
supplementary	69865	129419	65471550	74812843	-46.051701859880914	10999.09296131134	0.6168620025629667
dna	97966	105788	65471550	74812843	-46.051701859880914	162.3286418914795	1.0581880006871467
compare	115045	128548	65471550	74812843	-17.16192399380349	30.385125160217285	1.0226484306350332
individual	103967	113121	65471550	74812843	-46.051701859437486	129.72088432312012	1.0502100021431202
specie	89276	90762	65471550	74812843	-46.051701859880914	613.354474067688	1.12396886555212
non	93542	88998	65471550	74812843	-46.051701859880914	1528.3719816207886	1.201018514602656
mutation	83749	88909	65471550	74812843	-46.051701859880914	233.0108757019043	1.0763604729055662
change	113882	122847	65471550	74812843	-46.051701859880914	195.5567455291748	1.0592887113131215
suggest	98728	102562	65471550	74812843	-46.051701859880914	455.53271293640137	1.0999616857719665
test	144873	167696	65471550	74812843	-8.046753371381497	12.950716018676758	0.9871626000845708
number	171927	199697	65471550	74812843	-14.192764533389166	24.661666870117188	0.983776470591388
line	96347	108966	65471550	74812843	-3.911443030011698	5.410988807678223	1.0103486021553094
'	122663	123498	65471550	74812843	-46.051701859880914	983.6481103897095	1.13495127480238
1	238367	286425	65471550	74812843	-46.051701859880914	328.2825336456299	0.9509529936113658
level	153617	167457	65471550	74812843	-46.051701859880914	177.27360439300537	1.048237620012142
structure	79298	82063	65471550	74812843	-46.051701859880914	395.2209644317627	1.1041766638227524
follow	94652	107750	65471550	74812843	-0.921050564914455	0.7144908905029297	1.0037755417168739
10	101451	120016	65471550	74812843	-35.338475531628994	66.05516529083252	0.9659204962888397
distribution	79780	89890	65471550	74812843	-5.5554364202455115	8.344766616821289	1.0141607515397477
activity	95336	99633	65471550	74812843	-46.051701859880914	387.4859046936035	1.093395924609316
similar	76449	85342	65471550	74812843	-12.774096962548045	21.918313026428223	1.023606699978792
size	88733	100775	65471550	74812843	-1.69098036363049	1.762852668762207	1.0061355130434007
include	117904	129080	65471550	74812843	-46.05169942438275	112.6665096282959	1.0437426656491986
cell	537363	603715	65471550	74812843	-42.88219938406879	80.9535779953003	1.01709007768566
condition	84768	93563	65471550	74812843	-28.910083366117796	53.321462631225586	1.0352656752768985
represent	82287	95111	65471550	74812843	-4.124660955604998	5.784316062927246	0.988609383482893
effect	148196	160219	65471550	74812843	-46.051701859880914	235.29912281036377	1.05692998782743
study	203460	216508	65471550	74812843	-46.051701859880914	529.8870878219604	1.0738132436418908
significant	81652	90461	65471550	74812843	-22.598342671004062	40.962950706481934	1.0314056256130775
low	117431	130171	65471550	74812843	-30.696836906925085	56.83517074584961	1.0308427368568203
