lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio	lower_odds	upper_odds	z_value	p_value
’	345652	4837734	262494660	5365015381	41488.08587646485	1.4603185010335642	1.4552846535908277	1.4653697606162652	214.93008038593445	0.0
–	211069	7614840	262494660	5365015381	79745.75915527344	0.5665185938619643	0.5640727205512561	0.5689750727134727	-257.4144934827439	0.0
growth	240308	3933709	262494660	5365015381	10453.26382446289	1.2485803566425826	1.2434462316630457	1.2537356801577975	105.60360371013375	0.0
risk	94155	5338328	262494660	5365015381	136800.666015625	0.36048619001124105	0.35817038966379705	0.3628169634871289	-310.29404768644963	0.0
rna	280074	3073361	262494660	5365015381	83766.77294921875	1.862557618617015	1.8553623014788545	1.8697808400564955	314.94268108413564	0.0
distribution	244013	2903819	262494660	5365015381	56668.38137817383	1.7174888264585155	1.7104050869301886	1.7246019036952533	256.49429606032686	0.0
showed	240573	6355817	262494660	5365015381	16533.658630371094	0.7736169885154225	0.7704725505752749	0.7767742594759705	-123.52196989354249	0.0
4	418573	9713573	262494660	5365015381	6719.180267333984	0.8807298197999293	0.878006804593203	0.8834612800571691	-80.3887266623387	0.0
samples	359500	6202836	262494660	5365015381	9262.765747070312	1.1845655399008053	1.1805866305539743	1.188557859292423	98.66719282302238	0.0
compared	351431	8527264	262494660	5365015381	10464.205139160156	0.8423272642975181	0.8394883883874166	0.8451757403599798	-99.61877062912367	0.0
values	347575	6047939	262494660	5365015381	8108.403411865234	1.1746044119561398	1.1705929762704104	1.1786295941930507	92.20321494560403	0.0
sequence	279195	3211151	262494660	5365015381	72454.23361206055	1.7770408313474169	1.770178267848705	1.7839299993856992	291.2439367283554	0.0
°	302552	8136102	262494660	5365015381	23907.285034179688	0.7600359623112912	0.7572812051282105	0.7628007404576368	-148.11061271385452	0.0
higher	267944	6967705	262494660	5365015381	16118.096221923828	0.7859678467910951	0.7829394105614992	0.7890079971148763	-122.27337571520262	0.0
patients	151327	18263143	262494660	5365015381	915893.3268432616	0.1693524177939463	0.16849752269458199	0.17021165031987473	-687.7391061499767	0.0
methods	321977	5095075	262494660	5365015381	18388.36749267578	1.2915902764398932	1.286995508228854	1.2962014486669358	140.72463920105355	0.0
set	311836	3502636	262494660	5365015381	87049.9953918457	1.819624360996681	1.8129678424542024	1.8263053197074124	320.1500904832172	0.0
dna	350928	4989564	262494660	5365015381	38891.87808227538	1.4374936079681984	1.4325782736567358	1.4424258073346723	207.6603515659336	0.0
treatment	201797	9392163	262494660	5365015381	176289.84521484375	0.43913654733718177	0.4372035635901875	0.4410780772774766	-365.6289732064386	0.0
health	53602	6392535	262494660	5365015381	318845.5087280273	0.17137930544048308	0.1699284024132691	0.17284259674160823	-406.6298203427876	0.0
studies	324372	9318438	262494660	5365015381	40407.55703735352	0.7114604080588411	0.7089725433407053	0.7139570029752249	-190.48222763253642	0.0
gene	649340	7423666	262494660	5365015381	171544.0237121582	1.7877394795765793	1.7832052987986318	1.7922851894787064	448.38426870422023	0.0
effects	287688	5635876	262494660	5365015381	485.1607360839844	1.0433038651543636	1.0394004879179215	1.0472219011811634	22.16671823366599	3.598514390474197e-109
group	250469	11185162	262494660	5365015381	194160.62533569336	0.4576802814271605	0.4558705978028806	0.45949714900854527	-386.66198968279366	0.0
protein	515249	8898282	262494660	5365015381	13129.728393554688	1.1834815477463887	1.180159207663628	1.186813240756749	117.4522687089191	0.0
levels	328338	8403592	262494660	5365015381	17127.844604492188	0.7985584103832455	0.7957771512370045	0.8013493900931222	-126.37013042553576	0.0
10	406598	9365701	262494660	5365015381	5769.3726806640625	0.8873101465451809	0.8845263797590902	0.8901026743560377	-74.57701022656674	0.0
et	1762718	18120392	262494660	5365015381	627996.0530395508	1.9882260023989065	1.9851439400285675	1.9913128498673245	868.2679227693919	0.0
different	588822	10127073	262494660	5365015381	15721.362274169922	1.188367007491181	1.185245257176383	1.1914969800072228	128.59620728402047	0.0
present	199210	4940741	262494660	5365015381	7606.608642578125	0.8240803256563415	0.820396093640032	0.8277811028093908	-84.6366425322384	0.0
activity	381562	6841121	262494660	5365015381	5957.149444580078	1.1399566676309734	1.1362434313701133	1.1436820387241662	78.69053885844633	0.0
obtained	187797	4807957	262494660	5365015381	9829.336975097656	0.7983228754521033	0.7946494922906799	0.8020132393628779	-95.72315318472437	0.0
