lemma	count	repository
file	25989	Preprint
additional	55456	Preprint
±	44755	Preprint
–	71970	Preprint
supplementary	89866	Preprint
n	92167	Preprint
mm	79550	Preprint
p	158382	Preprint
fig	355537	Preprint
data	378014	Preprint
°	97317	Preprint
table	135000	Preprint
performed	107519	Preprint
values	119431	Preprint
1	324505	Preprint
mean	99213	Preprint
10	138408	Preprint
samples	127059	Preprint
value	84957	Preprint
total	88544	Preprint
regions	104012	Preprint
mice	83187	Preprint
human	103904	Preprint
specific	137982	Preprint
activity	123779	Preprint
changes	87012	Preprint
function	108820	Preprint
population	116210	Preprint
“	116423	Preprint
effects	96187	Preprint
large	82066	Preprint
figure	338421	Preprint
studies	109626	Preprint
”	117517	Preprint
binding	107007	Preprint
et	592718	Preprint
non	126616	Preprint
genetic	93449	Preprint
al	588656	Preprint
’	119331	Preprint
file	96985	Published
additional	108204	Published
±	85898	Published
–	117798	Published
supplementary	131481	Published
n	127120	Published
mm	87115	Published
p	172867	Published
fig	379751	Published
data	392862	Published
°	100426	Published
table	130113	Published
performed	103575	Published
values	113616	Published
1	305464	Published
mean	93273	Published
10	128904	Published
samples	118064	Published
value	78896	Published
total	81795	Published
regions	85033	Published
mice	67797	Published
human	84536	Published
specific	111940	Published
activity	99688	Published
changes	69848	Published
function	87121	Published
population	92361	Published
“	92319	Published
effects	76072	Published
large	64904	Published
figure	266663	Published
studies	85867	Published
”	91571	Published
binding	82986	Published
et	440719	Published
non	93432	Published
genetic	68617	Published
al	432210	Published
’	87400	Published
