lemma	count	repository
neurons	245673	bioRxiv
genome	310549	bioRxiv
genetic	246116	bioRxiv
regions	276621	bioRxiv
al	1754312	bioRxiv
et	1762718	bioRxiv
genes	702833	bioRxiv
single	356832	bioRxiv
models	284777	bioRxiv
species	423665	bioRxiv
RNA	280074	bioRxiv
model	730123	bioRxiv
set	311836	bioRxiv
gene	649340	bioRxiv
sequence	279195	bioRxiv
distribution	244013	bioRxiv
individual	238484	bioRxiv
fig	1031812	bioRxiv
binding	274774	bioRxiv
population	315986	bioRxiv
studies	324372	bioRxiv
n	285584	bioRxiv
disease	156577	bioRxiv
ml	169952	bioRxiv
min	144260	bioRxiv
cancer	157764	bioRxiv
–	211069	bioRxiv
h	166514	bioRxiv
groups	173270	bioRxiv
reported	184662	bioRxiv
age	154914	bioRxiv
group	250469	bioRxiv
study	443222	bioRxiv
treatment	201797	bioRxiv
clinical	92762	bioRxiv
risk	94155	bioRxiv
years	82305	bioRxiv
±	146922	bioRxiv
health	53602	bioRxiv
patients	151327	bioRxiv
neurons	1628424	PMC
genome	2157447	PMC
genetic	2193087	PMC
regions	2613208	PMC
al	17451861	PMC
et	18120392	PMC
genes	7335919	PMC
single	3817816	PMC
models	3073732	PMC
species	4632521	PMC
RNA	3073361	PMC
model	8136668	PMC
set	3502636	PMC
gene	7423666	PMC
sequence	3211151	PMC
distribution	2903819	PMC
individual	2936322	PMC
fig	13310282	PMC
binding	3705457	PMC
population	4412016	PMC
studies	9318438	PMC
n	8911129	PMC
disease	5089904	PMC
ml	5753367	PMC
min	4947283	PMC
cancer	5656957	PMC
–	7614840	PMC
h	6052940	PMC
groups	6334427	PMC
reported	6918021	PMC
age	5830617	PMC
group	11185162	PMC
study	20300434	PMC
treatment	9392163	PMC
clinical	5187380	PMC
risk	5338328	PMC
years	4895243	PMC
±	11016756	PMC
health	6392535	PMC
patients	18263143	PMC
