lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
genetic	246116	21698	420924101	1218668568	531441.4872131348	32.839910144354114
control	386236	276031	420924101	1218668568	314337.89923095703	4.0511349347374965
lead	67522	1043530	420924101	1218668568	293622.11434936523	0.1873364023026294
dr.	5366	641203	420924101	1218668568	332875.2829437256	0.02422908087699808
rna	280074	1088	420924101	1218668568	747910.4892272949	745.2907232754017
network	228770	149411	420924101	1218668568	203249.29080200195	4.4330059745457975
model	730123	89348	420924101	1218668568	1473133.3443450928	23.658816234372956
want	4208	502140	420924101	1218668568	260656.28022766113	0.024262342535919634
single	356832	196788	420924101	1218668568	366480.638092041	5.249851260895708
level	293259	200394	420924101	1218668568	249564.67498779297	4.236902323968211
white	68254	577389	420924101	1218668568	92437.42810058594	0.34224839430401127
higher	267944	181158	420924101	1218668568	230383.93026733398	4.282213693975255
states	93191	966169	420924101	1218668568	195650.08332824707	0.2792561138819509
multiple	216277	37220	420924101	1218668568	398678.34352111816	16.82347801330899
regions	276621	20670	420924101	1218668568	614326.1087799072	38.7459654854579
changes	253264	162828	420924101	1218668568	228289.42463684082	4.503251373404221
size	284190	126747	420924101	1218668568	340173.5509338379	6.49161746797407
cells	1281940	42120	420924101	1218668568	3135057.91897583	88.11729428380477
associated	333073	68303	420924101	1218668568	579970.2758026123	14.11826945920698
home	10766	805183	420924101	1218668568	392350.80305480957	0.03871164223172635
director	271	548286	420924101	1218668568	321346.53649902344	0.0014310142256403358
center	50756	663110	420924101	1218668568	165271.3678741455	0.22160707846280062
ago	10103	592403	420924101	1218668568	276284.0136413574	0.04937588816501264
market	2492	539866	420924101	1218668568	295261.14796447754	0.013364228046672982
sequence	279195	14764	420924101	1218668568	650799.7995910645	54.75016303833156
including	224296	524179	420924101	1218668568	6990.915756225586	1.2388642696948553
percent	24454	1199380	420924101	1218668568	538129.3768615723	0.05903029073355525
week	26994	782033	420924101	1218668568	300698.8455657959	0.09993646441723465
law	11360	567920	420924101	1218668568	256000.6882019043	0.057912589597183574
following	222292	118695	420924101	1218668568	234165.30392456055	5.422171193802253
ms.	50	957363	420924101	1218668568	566935.0244598389	0.00015120814386607642
species	423665	45278	420924101	1218668568	881005.0906066895	27.090509256389296
found	405324	469813	420924101	1218668568	172510.48583984375	2.4978083150635757
state	212458	1251630	420924101	1218668568	107716.97354125977	0.4914495499422117
cell	966589	39388	420924101	1218668568	2317942.304412842	71.04928898013078
samples	359500	17107	420924101	1218668568	848386.0799560547	60.842472746668655
public	21271	713929	420924101	1218668568	288748.26416015625	0.08626104221128994
distribution	244013	36075	420924101	1218668568	469743.23037719727	19.583415639455215
total	261994	157414	420924101	1218668568	250754.28524780273	4.818699096567512
compared	351431	98796	420924101	1218668568	540349.9112854004	10.298702759484247
study	443222	209450	420924101	1218668568	510208.2504272461	6.126645632927222
bush	768	465246	420924101	1218668568	266732.3839111328	0.004779257044973753
genes	702833	15385	420924101	1218668568	1770926.8939208984	132.26241886410884
specific	382935	67065	420924101	1218668568	702032.8259429932	16.53145009351079
york	2529	1720583	420924101	1218668568	989162.5867919922	0.004255543347516417
street	635	905222	420924101	1218668568	528200.1207733154	0.00203095565993529
business	475	660334	420924101	1218668568	385202.20292663574	0.002082628308163075
low	272278	233089	420924101	1218668568	181159.83432006836	3.3819921102299584
brain	225056	51436	420924101	1218668568	376822.8317871094	12.667917460035145
share	23496	597814	420924101	1218668568	218577.02713012695	0.11379145982591345
day	119158	896991	420924101	1218668568	121689.73767089844	0.3846067806050286
growth	240308	161875	420924101	1218668568	207361.1968536377	4.298038134360803
national	19222	718185	420924101	1218668568	300189.82415771484	0.07748971428647261
based	490625	367817	420924101	1218668568	379852.3686981201	3.861888165694691
shown	393296	91152	420924101	1218668568	654926.7523803711	12.492091144267349
like	148698	1809044	420924101	1218668568	425049.8214569092	0.23797855006663662
money	1258	566013	420924101	1218668568	321324.81661987305	0.006434814799411378
analysis	680637	59351	420924101	1218668568	1472127.879989624	33.202388748261754
end	120660	527968	420924101	1218668568	18204.224044799805	0.6616640471620561
political	922	486575	420924101	1218668568	277775.8320007324	0.005486090235694228
mean	296002	111694	420924101	1218668568	392370.58323669434	7.672671739580961
best	82201	501641	420924101	1218668568	46645.9930267334	0.47442317198499506
sample	253603	17059	420924101	1218668568	572359.5349273682	43.04102788945559
company	2485	1526628	420924101	1218668568	875255.0273590088	0.004712756340858486
said	3970	7731501	420924101	1218668568	4517906.877807617	0.0014866492198013098
mr.	120	5817946	420924101	1218668568	3442627.1817626953	5.971636680136606e-05
set	311836	464160	420924101	1218668568	77756.67546081543	1.9450929352018074
fig	1031812	2541	420924101	1218668568	2770033.5231933594	1175.6491285647542
place	34786	525204	420924101	1218668568	145522.09576416016	0.19176011632293477
response	307239	110722	420924101	1218668568	417837.39682006836	8.03385960245017
showed	240573	139264	420924101	1218668568	237594.1210784912	5.001379801926601
net	22817	504167	420924101	1218668568	173265.0026397705	0.13102855257802065
results	564580	150633	420924101	1218668568	887957.9299316406	10.851435184698428
think	4459	550116	420924101	1218668568	286596.07345581055	0.023467401991237664
number	544541	397903	420924101	1218668568	433098.3105773926	3.9621889999273963
american	13583	1227162	420924101	1218668568	615150.9606933594	0.03204613213271569
team	8313	532023	420924101	1218668568	252342.99432373047	0.0452386034674574
court	412	554296	420924101	1218668568	323202.20443725586	0.0021519753301938354
john	1355	569213	420924101	1218668568	322293.14697265625	0.006892016395614973
population	315986	102628	420924101	1218668568	453782.7989654541	8.914229124886617
increased	243041	109599	420924101	1218668568	288822.27766418457	6.420291825241818
structure	216167	58909	420924101	1218668568	336999.32537841797	10.624036688357318
country	7160	551835	420924101	1218668568	270229.71084594727	0.037565190638874986
neurons	245673	1685	420924101	1218668568	648830.1401367188	422.12331580034663
year	36580	1871127	420924101	1218668568	847368.73387146	0.0566007586678512
different	588822	290725	420924101	1218668568	657140.2398834229	5.863858282872161
family	83196	645942	420924101	1218668568	91807.63778686523	0.3728985883472858
office	2303	489148	420924101	1218668568	267165.70278930664	0.013631243402391208
identified	269261	76311	420924101	1218668568	412542.9624481201	10.215699902756706
differences	230313	46777	420924101	1218668568	402412.8043823242	14.255022396918719
life	70897	690621	420924101	1218668568	130944.3671875	0.29721443301868433
effect	341735	153898	420924101	1218668568	406425.6650695801	6.42892414949375
et	1762718	7252	420924101	1218668568	4698346.180465698	703.7312889050761
going	5758	599672	420924101	1218668568	306347.3154144287	0.02779967420573997
similar	299821	151846	420924101	1218668568	328600.48429870605	5.7166355962089614
government	2101	803970	420924101	1218668568	453440.1798095703	0.007566029423435177
system	229194	411423	420924101	1218668568	31884.849548339844	1.612859343401375
performed	313769	115547	420924101	1218668568	421655.3815612793	7.862002477282118
group	250469	678400	420924101	1218668568	804.0206451416016	1.0689317071516315
al	1754312	132751	420924101	1218668568	3883821.5706329346	38.260518368931955
called	51914	580434	420924101	1218668568	126558.98233032227	0.25894853930688905
good	39088	683489	420924101	1218668568	207736.19868469238	0.165574608587499
come	10684	491133	420924101	1218668568	217043.21557617188	0.06298201923348866
little	40957	576238	420924101	1218668568	151926.43423461914	0.20578232067799238
value	247373	133258	420924101	1218668568	258809.4376220703	5.37453409115858
figure	938512	126440	420924101	1218668568	1849796.424255371	21.490036825613373
non	362862	54506	420924101	1218668568	695464.2866363525	19.274316890742547
second	159312	594417	420924101	1218668568	8473.202865600586	0.7759595547634389
game	6445	635742	420924101	1218668568	322542.7978515625	0.02935106301019587
dna	350928	23160	420924101	1218668568	794163.3167419434	43.86935843431394
years	82305	1796013	420924101	1218668568	613231.7714691162	0.13267789123395873
companies	1077	480208	420924101	1218668568	272529.84410095215	0.006493339784769726
times	124681	520838	420924101	1218668568	14533.571685791016	0.6930737194395958
yesterday	65	816741	420924101	1218668568	483315.32751464844	0.0002304150359867768
west	10263	522574	420924101	1218668568	236544.9301147461	0.05686019537859398
models	284777	52235	420924101	1218668568	514630.7903442383	15.784292798291581
case	151976	464429	420924101	1218668568	337.1165771484375	0.9474089789357353
values	347575	53681	420924101	1218668568	661092.760635376	18.746049126580367
information	250332	357144	420924101	1218668568	69409.1371307373	2.0293400554575745
described	220661	144832	420924101	1218668568	195142.78889465332	4.411059043207428
season	14253	544258	420924101	1218668568	228950.50564575195	0.07581991280277155
today	3528	1053502	420924101	1218668568	587208.9888763428	0.009695607566550694
big	5579	471156	420924101	1218668568	233979.3224182129	0.03428257637788632
binding	274774	7867	420924101	1218668568	679921.3528442383	101.12261754247042
gene	649340	35637	420924101	1218668568	1506238.0672302246	52.75368922140598
mm	238592	360	420924101	1218668568	643566.4900360107	1918.8242296036485
school	7081	800020	420924101	1218668568	412671.5566253662	0.025625689940589745
united	8293	1024026	420924101	1218668568	533444.010925293	0.023446741683973517
respectively	225542	25400	420924101	1218668568	463856.93475341797	25.708428354082763
new	174056	4031911	420924101	1218668568	1413672.2102508545	0.12498557100927773
women	21344	502009	420924101	1218668568	177500.1488647461	0.12309661935329577
significant	342755	104870	420924101	1218668568	506812.4219970703	9.462684226531941
war	739	504275	420924101	1218668568	290058.3234863281	0.004242861128251341
given	220844	278787	420924101	1218668568	80083.40380859375	2.2934797135691483
federal	1280	587507	420924101	1218668568	333769.7119140625	0.0063078120009516445
effects	287688	65961	420924101	1218668568	481080.9965362549	12.627469633973773
general	88255	466913	420924101	1218668568	30775.69598388672	0.5472492439809277
proteins	317669	5186	420924101	1218668568	813664.8624267578	177.34712006496903
conditions	238256	75428	420924101	1218668568	346554.12504577637	9.145197117578183
protein	515249	12937	420924101	1218668568	1286905.9112854004	115.30958160477222
university	33738	659677	420924101	1218668568	213334.32080078125	0.1480709314552468
right	164993	570663	420924101	1218668568	4177.416564941406	0.8370812630702885
night	8662	589751	420924101	1218668568	282863.37423706055	0.042523725922592376
table	376993	101736	420924101	1218668568	590133.224533081	10.728535557800269
supplementary	240831	1155	420924101	1218668568	640872.5642852783	603.6875531773543
long	151542	913352	420924101	1218668568	82674.78578186035	0.4803708520749236
program	33250	480414	420924101	1218668568	129114.94116210938	0.20038158689584173
methods	321977	27284	420924101	1218668568	700133.129119873	34.16635315578318
million	31727	1213809	420924101	1218668568	510739.166305542	0.07567640141246981
people	20144	1676443	420924101	1218668568	830331.2047729492	0.03478874307761329
individual	238484	96396	420924101	1218668568	303680.76251220703	7.162787239301253
play	47357	496312	420924101	1218668568	101635.70556640625	0.2762556847891255
mice	305116	8445	420924101	1218668568	756905.1529846191	104.6037237833919
use	217420	476754	420924101	1218668568	11108.197891235352	1.3203435943804915
police	138	554391	420924101	1218668568	326707.59703063965	0.0007206837538335245
world	24490	943243	420924101	1218668568	397700.54428100586	0.07517042594455667
sequences	218922	6098	420924101	1218668568	542858.8749084473	103.9402612177186
old	49991	1003174	420924101	1218668568	328769.67741394043	0.14427708975836298
human	294116	228189	420924101	1218668568	219444.55575561523	3.7316917522703186
high	440917	710856	420924101	1218668568	87974.12187194824	1.7957961133134197
city	6200	1357957	420924101	1218668568	743010.2752838135	0.013218661708191979
officials	162	760328	420924101	1218668568	448417.6463623047	0.0006168731211330236
president	94	1297812	420924101	1218668568	768013.8559265137	0.00020969973663657757
