lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
n	92167	127120	89908910	81373377	9614.587584495544	0.6562074768454174
5	157973	134581	89908910	81373377	266.00808811187744	1.0623771515187588
table	135000	130113	89908910	81373377	261.3974151611328	0.9390585799245866
found	137176	116133	89908910	81373377	280.514612197876	1.069060040715668
methods	120787	104507	89908910	81373377	113.55373764038086	1.046054761945628
 	35	621724	89908910	81373377	922260.9141340256	5.095068402795465e-05
sample	90296	81415	89908910	81373377	0.6126880645751953	1.0037919115516865
distribution	86017	73118	89908910	81373377	155.57440853118896	1.0647302552271924
model	251515	213085	89908910	81373377	502.905818939209	1.0682935813957626
described	80372	74056	89908910	81373377	12.341411590576172	0.9822547369528002
activity	123779	99688	89908910	81373377	753.8030347824097	1.1237861976102543
mm	79550	87115	89908910	81373377	1511.0252418518066	0.8264695362429688
models	97449	81458	89908910	81373377	280.67341804504395	1.0827376806105904
”	117517	91571	89908910	81373377	1158.3757314682007	1.1615083767856453
value	84957	78896	89908910	81373377	27.055466651916504	0.9745941272410599
observed	147636	125502	89908910	81373377	266.4902515411377	1.0646852324667198
level	96352	82695	89908910	81373377	125.50076675415039	1.0545352204594112
study	141496	124975	89908910	81373377	39.49527645111084	1.0247091741287775
growth	80312	68702	89908910	81373377	117.80320262908936	1.0580121818901442
associated	116736	95493	89908910	81373377	537.9384489059448	1.1064018103075677
sites	84932	70207	89908910	81373377	316.3815107345581	1.0948901341223436
high	150697	123987	89908910	81373377	619.0612688064575	1.1000389473674774
population	116210	92361	89908910	81373377	871.6093521118164	1.13876597331008
average	81416	72243	89908910	81373377	14.97971248626709	1.0199845563461991
fig	355537	379751	89908910	81373377	5019.521999359131	0.8473551716379372
set	115341	106347	89908910	81373377	19.036993980407715	0.9816079708119024
results	191217	163036	89908910	81373377	313.33723735809326	1.0615063480664169
number	197306	181634	89908910	81373377	27.22201156616211	0.9831567199644601
"				"	1	404569	89908910	81373377	601133.1832485199	2.237108279011285e-06
c	237824	219620	89908910	81373377	46.07062530517578	0.9800842252108689
genome	134503	111616	89908910	81373377	459.72214221954346	1.0906492964632317
species	124155	103964	89908910	81373377	342.17975330352783	1.080838586234462
cells	421480	372332	89908910	81373377	115.65514755249023	1.0245336221838663
information	81619	74881	89908910	81373377	7.201302528381348	0.986504886819924
°	97317	100426	89908910	81373377	849.6940269470215	0.8770455604340085
effects	96187	76072	89908910	81373377	775.3164510726929	1.1443823533902269
 	25	765021	89908910	81373377	1134464.504585266	2.9576464545787518e-05
effect	111540	92406	89908910	81373377	395.8062801361084	1.0924713990629942
10	138408	128904	89908910	81373377	54.52996635437012	0.9717944312723333
identified	99678	83794	89908910	81373377	248.38582038879395	1.0766288172521536
sequences	85135	77565	89908910	81373377	1.7805595397949219	0.9933949561293319
performed	107519	103575	89908910	81373377	204.90051460266113	0.9395283331561074
±	44755	85898	89908910	81373377	17594.69757938385	0.47156125670414994
–	71970	117798	89908910	81373377	16202.65943145752	0.552959333198143
p	158382	172867	89908910	81373377	2896.4875774383545	0.8292268094790364
size	100606	87107	89908910	81373377	91.7161455154419	1.0453228226972164
proteins	109510	90279	89908910	81373377	431.96638679504395	1.0978592014020145
multiple	79538	65437	89908910	81373377	327.33971881866455	1.1000967781819804
significant	111545	95583	89908910	81373377	153.9388198852539	1.056207039171314
data	378014	392862	89908910	81373377	3667.2788410186768	0.870858245726154
figure	338421	266663	89908910	81373377	2866.5931091308594	1.1486141199775128
gene	251243	217255	89908910	81373377	241.84694290161133	1.0466555899950656
dna	134214	112487	89908910	81373377	361.6225004196167	1.07987899212792
regions	104012	85033	89908910	81373377	484.97182178497314	1.1070711999620018
test	120919	109000	89908910	81373377	0.9271211624145508	1.0040322343273713
’	119331	87400	89908910	81373377	2277.9640254974365	1.235723922913791
rna	111258	93660	89908910	81373377	266.9629440307617	1.0751194092236132
et	592718	440719	89908910	81373377	9786.558329582214	1.2172112269939332
file	25989	96985	89908910	81373377	50989.82717514038	0.2425295193211485
b	175001	160307	89908910	81373377	12.118403434753418	0.9880243560645494
4	141690	123666	89908910	81373377	86.9828929901123	1.0369754951292534
additional	55456	108204	89908910	81373377	22954.893641471863	0.46385776632913284
function	108820	87121	89908910	81373377	729.84752368927	1.130486750937591
t	101811	93959	89908910	81373377	18.533658027648926	0.9806994330631517
higher	87017	74557	89908910	81373377	120.58217430114746	1.0563194798749034
genes	274324	235703	89908910	81373377	342.043249130249	1.0533635872534677
cell	325690	282962	89908910	81373377	252.42190742492676	1.0417317834112583
supplementary	89866	131481	89908910	81373377	12555.92171573639	0.6186029972046767
response	97370	79638	89908910	81373377	450.21481227874756	1.1065841166163175
2	227745	207684	89908910	81373377	6.159188270568848	0.9924883517238241
specific	137982	111940	89908910	81373377	741.1956043243408	1.1156211526161668
rate	109502	95280	89908910	81373377	78.95878982543945	1.040159428275586
large	82066	64904	89908910	81373377	661.5968770980835	1.1443830323660147
individual	84308	71498	89908910	81373377	163.8661298751831	1.067221339043115
time	204763	177615	89908910	81373377	171.46171855926514	1.0434014854525708
