lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
house	11025	802719	262494660	659277495	448757.6537780762	0.03449553092445902
yesterday	65	816741	262494660	659277495	545985.714767456	0.00019988342260368115
best	82201	501641	262494660	659277495	68168.15147399902	0.411558763831271
’	345652	1070	262494660	659277495	854209.3024978638	811.3403490457548
net	22817	504167	262494660	659277495	207272.9252166748	0.11366634749306982
year	36580	1871127	262494660	659277495	983018.3542633057	0.049100759922387785
growth	240308	161875	262494660	659277495	169958.0955581665	3.7285178421536718
rna	280074	1088	262494660	659277495	689841.3530502319	646.5344588519368
distribution	244013	36075	262494660	659277495	421869.34690093994	16.988475285568637
music	4584	499143	262494660	659277495	293781.2202529907	0.023065740523444643
showed	240573	139264	262494660	659277495	198392.88041687012	4.3386617903155456
federal	1280	587507	262494660	659277495	378625.1479797363	0.00547198253139672
4	418573	459683	262494660	659277495	143893.17013549805	2.28697041228033
little	40957	576238	262494660	659277495	187710.25928497314	0.17851471537997166
west	10263	522574	262494660	659277495	274562.5583190918	0.04932581944365655
war	739	504275	262494660	659277495	328642.6978225708	0.003680652177558691
samples	359500	17107	262494660	659277495	775035.8222122192	52.7804170426328
compared	351431	98796	262494660	659277495	474987.69409942627	8.934052185994597
values	347575	53681	262494660	659277495	593048.3372268677	16.26206572705033
called	51914	580434	262494660	659277495	160397.6403579712	0.22463603598271795
sequence	279195	14764	262494660	659277495	593969.0711746216	47.49538123388489
°	302552	2	262494660	659277495	759751.7094116211	379942.4427667214
women	21344	502009	262494660	659277495	211647.30252838135	0.10678545122676517
higher	267944	181158	262494660	659277495	188727.71001434326	3.7147902514541102
york	2529	1720583	262494660	659277495	1120351.749710083	0.0036916539135437476
season	14253	544258	262494660	659277495	267805.94079589844	0.06577324091558145
methods	321977	27284	262494660	659277495	635373.6812515259	29.639070980836284
set	311836	464160	262494660	659277495	48796.41011810303	1.687354436334136
p.m.	273	631032	262494660	659277495	418724.26110076904	0.0010865733324699274
dna	350928	23160	262494660	659277495	723063.9122772217	38.05635979321056
country	7160	551835	262494660	659277495	311133.58542633057	0.03258753858445682
studies	324372	100884	262494660	659277495	416301.70959472656	8.075489248008743
team	8313	532023	262494660	659277495	291488.83055114746	0.039244170225961626
gene	649340	35637	262494660	659277495	1373946.3359298706	45.76345424415223
effects	287688	65961	262494660	659277495	426436.2317428589	10.954241065273104
percent	24454	1199380	262494660	659277495	625035.258140564	0.051208361896098335
group	250469	678400	262494660	659277495	1053.3596649169922	0.92729073534648
protein	515249	12937	262494660	659277495	1180807.8489456177	100.03025076663428
levels	328338	78525	262494660	659277495	478055.2523574829	10.501733219415819
company	2485	1526628	262494660	659277495	991670.920463562	0.004088282968486722
